reason,keep_id,keep_name,loser_id,loser_name,merge_command
same name,88,"Commonwealth Fusion Systems",1332,"Commonwealth Fusion Systems","node --env-file=.env.local merge-companies.mjs --keep 88 --loser 1332 --write"
same name,81,"Oklo Inc",1321,"Oklo","node --env-file=.env.local merge-companies.mjs --keep 81 --loser 1321 --write"
same name,2724,"DeCharge Network",2119,"DeCharge Network","node --env-file=.env.local merge-companies.mjs --keep 2724 --loser 2119 --write"
same name,2712,"DeCharge Network",2724,"DeCharge Network","node --env-file=.env.local merge-companies.mjs --keep 2712 --loser 2724 --write"
same name,2712,"DeCharge Network",2119,"DeCharge Network","node --env-file=.env.local merge-companies.mjs --keep 2712 --loser 2119 --write"
same name,7,"Hy24",1271,"Hy24","node --env-file=.env.local merge-companies.mjs --keep 7 --loser 1271 --write"
same name,1277,"First Hydrogen",1286,"First Hydrogen","node --env-file=.env.local merge-companies.mjs --keep 1277 --loser 1286 --write"
same name,1309,"BioLite",2684,"BioLite","node --env-file=.env.local merge-companies.mjs --keep 1309 --loser 2684 --write"
same name,84,"Firefly Fusion",1324,"Firefly Fusion","node --env-file=.env.local merge-companies.mjs --keep 84 --loser 1324 --write"
same name,1652,"Kitty Hawk",1700,"Kitty Hawk","node --env-file=.env.local merge-companies.mjs --keep 1652 --loser 1700 --write"
same name,1276,"Linde",1285,"Linde","node --env-file=.env.local merge-companies.mjs --keep 1276 --loser 1285 --write"
same name,1291,"Ohmium",1807,"Ohmium","node --env-file=.env.local merge-companies.mjs --keep 1291 --loser 1807 --write"
same name,1298,"Hy2gen",1814,"HY2GEN","node --env-file=.env.local merge-companies.mjs --keep 1298 --loser 1814 --write"
same name,9,"VERDE HYDROGEN",1273,"Verde Hydrogen","node --env-file=.env.local merge-companies.mjs --keep 9 --loser 1273 --write"
same name,982,"Electra",2723,"Electra","node --env-file=.env.local merge-companies.mjs --keep 982 --loser 2723 --write"
same name,982,"Electra",2709,"Electra","node --env-file=.env.local merge-companies.mjs --keep 982 --loser 2709 --write"
same name,2709,"Electra",2723,"Electra","node --env-file=.env.local merge-companies.mjs --keep 2709 --loser 2723 --write"
same name,2705,"Wright Electric",2352,"Wright Electric","node --env-file=.env.local merge-companies.mjs --keep 2705 --loser 2352 --write"
same name,1371,"Curio",2521,"Curio","node --env-file=.env.local merge-companies.mjs --keep 1371 --loser 2521 --write"
same name,8,"Plug Power",1281,"Plug Power","node --env-file=.env.local merge-companies.mjs --keep 8 --loser 1281 --write"
same name,1909,"Monolith Corp",2433,"Monolith","node --env-file=.env.local merge-companies.mjs --keep 1909 --loser 2433 --write"
same name,1338,"TerraPower",1908,"TerraPower","node --env-file=.env.local merge-companies.mjs --keep 1338 --loser 1908 --write"
same name,976,"H2 Green Steel",1293,"H2 Green Steel","node --env-file=.env.local merge-companies.mjs --keep 976 --loser 1293 --write"
